,bedrooms,sqft_lot,sqft_living,price,floors10,floors15,floors20,floors25,floors30,floors35,view00,view10,view20,view30,view40,grade3,grade4,grade5,grade6,grade7,grade8,grade9,grade10,grade11,grade12,grade13
0,1.0986122886681098,8.639410824140487,7.07326971745971,12.309982108920686,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1.0986122886681098,8.887652690325586,7.851661177889265,13.195613839143922,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,0.6931471805599453,9.210340371976184,6.646390514847729,12.100712129872347,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,1.3862943611198906,8.517193191416238,7.580699752224563,13.311329476916953,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,1.0986122886681098,8.997147151515142,7.426549072397305,13.142166004700508,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,1.3862943611198906,11.532041582162458,8.597851094433691,14.0225247273486,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,1.0986122886681098,8.918650278126863,7.484368643286131,12.343658308482738,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,1.0986122886681098,8.788745881938135,7.5443321080536885,12.685407602204794,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10,1.0986122886681098,9.189729418072059,8.177515823846075,13.403775836842515,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11,0.6931471805599453,8.699514748210191,7.05617528410041,13.056223574899784,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12,1.0986122886681098,9.898525260706313,7.265429723253953,12.644327576461329,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13,1.0986122886681098,9.177817180270623,7.222566018822171,12.89921982609012,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,1.6094379124341003,8.48673398393153,7.501082124259871,13.180632285528304,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15,1.3862943611198906,8.517193191416238,7.989560449333865,13.38472764187182,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
16,1.0986122886681098,9.549665677579801,7.5443321080536885,12.886641043883259,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17,1.3862943611198906,8.366370301681654,7.3777589082278725,13.091904169919621,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19,1.0986122886681098,9.1874810778301,7.1308988302963465,12.345834587905333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20,1.3862943611198906,8.513185170018698,7.3901814282264295,12.86099861326992,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21,1.0986122886681098,10.711457836917562,8.022896869601457,14.508657738524219,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
22,1.6094379124341003,8.748304912379623,7.727535110475448,12.560244459250788,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,0.6931471805599453,9.173987542510384,6.975413927455952,12.439958293376286,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
24,1.0986122886681098,8.779557455883728,7.803843303538772,12.70381302974751,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25,1.0986122886681098,8.454679286026995,7.444248649496705,12.358793732547838,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26,1.0986122886681098,7.897668150726906,7.803843303538772,13.750438561220559,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27,1.0986122886681098,7.365812837209472,7.24422751560335,13.410545324897761,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
28,1.0986122886681098,8.760923376338836,7.326465613840322,12.989974189358584,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
29,1.3862943611198906,8.878079256126435,7.851661177889265,13.485616636703183,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30,1.0986122886681098,8.289037098278483,7.749322464660356,13.271645080120082,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
31,0.6931471805599453,7.142827401161621,7.081708586105575,12.542544882151386,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,1.3862943611198906,8.517193191416238,7.753623546559746,13.440817108522863,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
